"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 00:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 00:00:00",33.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 00:00:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 00:00:00",2
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 00:00:00",9.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 00:00:00",22
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 01:00:00",1.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 01:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 01:00:00",34.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 01:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 01:00:00",8.3
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 01:00:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 02:00:00",1.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 02:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 02:00:00",32.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 02:00:00",11
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 02:00:00",8.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 02:00:00",14
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 03:00:00",1.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 03:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 03:00:00",30.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 03:00:00",10
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 03:00:00",9.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 03:00:00",11
