"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 00:00",32.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 00:00",28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 00:00",0.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 00:00",24
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 00:00",0.77
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 00:00",0.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 00:00:00",24
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 00:00:00",0.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 00:00:00",28
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 00:00:00",32.7
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 00:00:00",0.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 00:00:00",0.77
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 01:00",23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 01:00",26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 01:00",6.4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 01:00",20.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 01:00",0.44
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 01:00",0.8
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 01:00:00",6.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 01:00:00",0.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 01:00:00",0.44
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 01:00:00",26
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 01:00:00",23
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 01:00:00",20.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 02:00",27
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 02:00",21
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 02:00",18.8
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 02:00",7.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 02:00",0.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 02:00",0.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 02:00:00",0.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 02:00:00",0.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 02:00:00",18.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 02:00:00",21
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 02:00:00",27
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 02:00:00",7.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 03:00",0.33
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 03:00",0.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 03:00",17.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 03:00",17
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 03:00",20
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 03:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 03:00:00",17
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 03:00:00",0.33
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 03:00:00",20
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 03:00:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 03:00:00",0.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 03:00:00",17.5
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 04:00",14.1
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 04:00",0.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 04:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 04:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 04:00",17
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 04:00",18
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 04:00:00",0.28
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 04:00:00",18
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 04:00:00",14.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 04:00:00",17
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 04:00:00",0.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 04:00:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 05:00",18
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 05:00",26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 05:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 05:00",0.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 05:00",0.28
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 05:00",15.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 05:00:00",26
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 05:00:00",0.8
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 05:00:00",15.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 05:00:00",18
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 05:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 05:00:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 06:00",19.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 06:00",22
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 06:00",5.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 06:00",0.36
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 06:00",1.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 06:00",15
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 06:00:00",1.1
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 06:00:00",5.1
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 06:00:00",22
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 06:00:00",19.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 06:00:00",15
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 06:00:00",0.36
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 07:00",1.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 07:00",24
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 07:00",2.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 07:00",15
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 07:00",0.91
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 07:00",27.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 07:00:00",27.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 07:00:00",15
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 07:00:00",2.1
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 07:00:00",24
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 07:00:00",0.91
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 07:00:00",1.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 08:00",1.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 08:00",23
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 08:00",7.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 08:00",1.26
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 08:00",28
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 08:00",31.8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 08:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 08:00:00",1.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 08:00:00",7.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 08:00:00",28
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 08:00:00",31.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 08:00:00",23
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 09:00",0.78
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 09:00",2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 09:00",17
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 09:00",25.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 09:00",29
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 09:00",21.8
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 09:00:00",25.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 09:00:00",17
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 09:00:00",2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-03-01 09:00:00",0.78
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-03-01 09:00:00",21.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-03-01 09:00:00",29
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-03-01 10:00",10.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-03-01 10:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-03-01 10:00",1.8
